playername,points
Eddie Royal CHI ,5.43
Tyreek Hill KC ,4.64
Justin Hardy ATL ,4.36
Jaelen Strong HOU ,4.71
Philly Brown CAR ,4.59
Walter Powell BUF ,4.31
Albert Wilson KC ,4.45
Andre Johnson TEN ,3.89
Tanner McEvoy SEA ,3.4
Josh Bellamy CHI ,4.11
Charone Peake NYJ ,3.63
Jordan Norwood DEN ,3.46
Charles Johnson MIN ,3.19
Bennie Fowler DEN ,3.3
Cecil Shorts TB ,3.2
Paul Richardson SEA ,2.75
Brandon Tate BUF ,3.0
Josh Huff PHI ,3.04
Braxton Miller HOU ,2.98
Aldrick Robinson ATL ,2.65
Brice Butler DAL ,2.86
Deonte Thompson CHI ,2.64
Jalin Marshall NYJ ,2.46
Taylor Gabriel ATL ,2.49
Malcolm Mitchell NE ,2.4
Brandon Coleman NO ,1.7
Ryan Grant WAS ,1.96
Andre Roberts DET ,2.41
Rashard Higgins CLE ,1.71
Arrelious Benn JAC ,2.17
Jeff Janis GB ,1.97
De'Anthony Thomas KC ,1.35
James Wright CIN ,1.19
Griff Whalen SD ,1.23
Jarius Wright MIN ,1.28
Louis Murphy TB ,0.9
Bryan Walters JAC ,1.25
Devin Street IND ,0.95
Laquon Treadwell MIN ,0.77
Cody Latimer DEN ,0.86
Isaiah Burse SD ,0.86
Corey Fuller DET ,0.85
Tommylee Lewis NO ,0.91
Devin Smith NYJ ,0.73
Lucky Whitehead DAL ,0.59
Jake Lampman NO ,0.85
Demarcus Robinson KC ,0.62
Jordan Taylor DEN ,0.63
Johnny Holton OAK ,0.52
Tevaun Smith IND ,0.68
Brenton Bersin CAR ,0.68
Brittan Golden ARI ,0.67
Keith Mumphery HOU ,0.6
Alex Erickson CIN ,0.48
Jeremy Butler NYJ ,0.46
Rashad Ross WAS ,0.31
Jordan Payton CLE ,0.47
Trevor Davis GB ,0.42
Seth DeValve CLE ,0.45
Rashad Greene JAC ,0.4
Eric Weems ATL ,0.26
Freddie Martino TB ,0.4
Marc Mariani TEN ,0.22
Cody Core CIN ,0.26
Harry Douglas TEN ,0.2
Frankie Hammond KC ,0.33
Matt Slater NE ,0.02
Mitch Mathews CLE ,0.0
Shane Wynn JAC ,0.0
Dom Williams SD ,0.0
Kendal Thompson WAS ,0.0
Vince Mayle DAL ,0.0
Marquis Bundy ARI ,0.0
C.J. Goodwin ATL ,0.0
D.J. Foster NE ,0.0
Neal Sterling JAC ,0.0
J.D. McKissic ATL ,0.0
Jace Billingsley DET ,0.0
Marcus Lucas SEA ,0.0
Geronimo Allison GB ,0.0
Maurice Harris WAS ,0.0
Chris Givens PHI ,0.0
Keyarris Garrett CAR ,0.0
Rashad Lawrence JAC ,0.0
Daniel Braverman CHI ,0.0
Andy Jones DAL ,0.0
Corey Washington BUF ,0.0
Darius Jennings CHI ,0.0
Jaydon Mickens OAK ,0.0
Sammy Watkins BUF ,0.0
K.J. Brent OAK ,0.0
David Watford PHI ,0.0
Kalif Raymond DEN ,0.0
TJ Jones DET ,0.0
Alonzo Russell CIN ,0.0
Chris Hubert ARI ,0.0
Devin Lucien NE ,0.0
Bryce Treggs PHI ,0.0
Quenton Bundrage HOU ,0.0
Herb Waters GB ,0.0
Marquess Wilson CHI ,0.0
Moritz Boehringer MIN ,0.0
Kenny Lawler SEA ,0.0
Paul Turner PHI ,0.0
Byron Marshall PHI ,0.0
Ed Eagan BUF ,0.0
Rob Gronkowski NE ,15.54
Jimmy Graham SEA ,13.86
Greg Olsen CAR ,14.51
Jordan Reed WAS ,13.96
Delanie Walker TEN ,12.48
Gary Barnidge CLE ,11.81
Kyle Rudolph MIN ,12.07
Jack Doyle IND ,11.92
Travis Kelce KC ,11.53
Cameron Brate TB ,11.14
Julius Thomas JAC ,9.53
Hunter Henry SD ,9.33
Tyler Eifert CIN ,9.5
Zach Miller CHI ,10.04
Martellus Bennett NE ,9.34
Charles Clay BUF ,8.83
Eric Ebron DET ,8.55
Coby Fleener NO ,8.3
Jason Witten DAL ,8.75
Antonio Gates SD ,8.18
Zach Ertz PHI ,8.2
C.J. Fiedorowicz HOU ,7.81
Jacob Tamme ATL ,6.45
Clive Walford OAK ,6.43
Virgil Green DEN ,5.94
Richard Rodgers GB ,5.73
Vernon Davis WAS ,4.27
Ryan Griffin HOU ,4.39
Jermaine Gresham ARI ,4.04
Marcedes Lewis JAC ,3.6
Austin Hooper ATL ,2.89
Josh Hill NO ,2.96
Demetrius Harris KC ,3.02
Trey Burton PHI ,3.03
Levine Toilolo ATL ,2.92
Ed Dickson CAR ,2.8
Erik Swoope IND ,2.42
Anthony Fasano TEN ,2.23
Nick O'Leary BUF ,2.35
Brandon Myers TB ,2.45
Mychal Rivera OAK ,2.45
Brent Celek PHI ,2.48
C.J. Uzomah CIN ,2.11
Stephen Anderson HOU ,2.3
Austin Seferian-Jenkins NYJ ,2.02
Connor Hamlett CLE ,2.01
Ifeanyi Momah ARI ,1.49
Jeff Heuerman DEN ,1.23
John Phillips DEN ,1.81
Tyler Kroft CIN ,1.35
Geoff Swaim DAL ,1.37
Luke Stocker TB ,1.07
Brandon Bostick NYJ ,0.97
Brandon Williams SEA ,0.84
Randall Telfer CLE ,1.13
Nick Vannett SEA ,0.98
Justin Perillo GB ,0.86
Clay Harbor DET ,0.94
Luke Willson SEA ,0.86
James Hanna DAL ,0.82
Gavin Escobar DAL ,0.47
Greg Scruggs NE ,0.66
Rhett Ellison MIN ,0.77
Scott Simonson CAR ,0.71
Ryan Hewitt CIN ,0.85
James O'Shaughnessy KC ,0.58
MyCole Pruitt MIN ,0.77
Ben Koyack JAC ,0.61
Logan Paulsen CHI ,0.77
Cole Wick DET ,0.62
Kellen Davis NYJ ,0.44
Phillip Supernaw TEN ,0.61
Niles Paul WAS ,0.46
Sean McGrath SD ,0.38
Alan Cross TB ,0.37
David Morgan MIN ,0.43
Ben Braunecker CHI ,0.42
Asante Cleveland SD ,0.38
Khari Lee DET ,0.36
Ross Travis KC ,0.2
Chase Coffman IND ,0.23
Hakeem Valles ARI ,0.21
Jace Amaro TEN ,0.15
Jake McGee SD ,0.0
